date,min,max,median,q1,q3
2021-10-08T00:00:00.000Z,29.2,99.1,42.65,37.0,51.3
2021-10-09T00:00:00.000Z,10.0,85.6,31.4,24.0,39.75
2021-10-10T00:00:00.000Z,1.5,40.5,16.05,6.4,31.9
2021-10-11T00:00:00.000Z,2.3,243.9,14.1,9.1,18.3
2021-10-12T00:00:00.000Z,8.7,32.2,17.6,15.3,22.1
2021-10-13T00:00:00.000Z,8.9,201.3,23.8,20.2,27.3
2021-10-14T00:00:00.000Z,2.2,214.4,8.7,6.6,14.3
2021-10-15T00:00:00.000Z,5.1,28.3,13.1,8.9,15.6
2021-10-16T00:00:00.000Z,0.6,37.3,7.7,4.0,17.95
2021-10-17T00:00:00.000Z,5.0,35.0,15.0,8.2,19.2
2021-10-18T00:00:00.000Z,7.1,60.4,16.8,12.0,32.79
2021-10-19T00:00:00.000Z,33.6,138.3,58.1,47.5,73.7
2021-10-20T00:00:00.000Z,20.5,98.8,49.55,38.4,64.9
2021-10-21T00:00:00.000Z,1.7,62.8,17.25,8.1,27.4
2021-10-22T00:00:00.000Z,5.3,34.6,21.8,10.95,24.55
2021-10-23T00:00:00.000Z,24.6,172.4,43.05,34.2,62.9
2021-10-24T00:00:00.000Z,27.3,131.7,48.9,37.4,83.6
2021-10-25T00:00:00.000Z,36.1,174.8,88.7,44.8,109.35
2021-10-26T00:00:00.000Z,84.7,227.1,153.9,126.0,188.0
2021-10-27T00:00:00.000Z,46.6,277.6,103.5,56.1,180.1
2021-10-28T00:00:00.000Z,23.1,95.5,54.7,45.1,73.4
2021-10-29T00:00:00.000Z,3.0,44.9,30.4,22.85,35.7
2021-10-30T00:00:00.000Z,4.6,60.7,13.1,9.6,17.45
2021-10-31T00:00:00.000Z,14.4,308.5,40.9,29.1,44.3
2021-11-01T00:00:00.000Z,14.2,77.3,25.2,21.5,29.65
2021-11-02T00:00:00.000Z,15.4,56.8,32.0,24.6,36.1
2021-11-03T00:00:00.000Z,24.8,109.2,44.7,38.1,52.1
2021-11-04T00:00:00.000Z,11.4,67.8,41.65,21.0,46.4
2021-11-05T00:00:00.000Z,17.8,91.6,39.79,29.8,43.7
2021-11-06T00:00:00.000Z,22.7,70.9,37.29,33.8,40.5
2022-02-04T00:00:00.000Z,43.7,73.5,50.6,47.8,59.4
2022-02-05T00:00:00.000Z,46.6,288.3,84.1,57.0,92.2
2022-02-06T00:00:00.000Z,52.0,113.3,74.05,67.1,79.8
2022-02-07T00:00:00.000Z,29.6,108.2,68.7,60.4,90.4
2022-02-08T00:00:00.000Z,16.7,58.4,37.6,28.4,43.5
2022-02-09T00:00:00.000Z,19.5,69.7,30.6,24.0,39.1
2022-02-10T00:00:00.000Z,36.7,118.2,66.7,55.2,71.09
2022-02-11T00:00:00.000Z,31.1,158.3,51.5,43.5,92.3
2022-02-12T00:00:00.000Z,4.2,459.3,31.1,16.4,40.2
2022-02-13T00:00:00.000Z,4.5,47.1,23.35,13.7,33.35
2022-02-14T00:00:00.000Z,25.9,100.1,55.8,37.25,72.3
2022-02-15T00:00:00.000Z,42.5,587.4,62.3,49.3,80.4
2022-02-16T00:00:00.000Z,45.6,238.9,67.2,61.15,79.0
2022-02-17T00:00:00.000Z,31.3,146.7,67.7,49.7,96.9
2022-02-18T00:00:00.000Z,1.4,84.5,40.1,30.2,47.7
2022-02-19T00:00:00.000Z,0.9,83.8,10.15,6.8,16.1
2022-02-20T00:00:00.000Z,7.3,69.7,16.89,14.6,19.7
2022-02-21T00:00:00.000Z,15.6,242.6,23.7,20.7,27.3
2022-02-22T00:00:00.000Z,20.0,66.7,33.1,27.1,37.29
2022-02-23T00:00:00.000Z,25.2,97.6,43.7,38.7,58.35
2022-02-24T00:00:00.000Z,36.0,173.6,54.8,45.4,69.0
2022-02-25T00:00:00.000Z,51.9,149.8,76.0,64.2,90.0
2022-02-26T00:00:00.000Z,91.9,221.4,185.45,113.5,206.5
2022-02-27T00:00:00.000Z,68.5,298.7,153.3,137.0,202.8
2022-02-28T00:00:00.000Z,74.0,265.1,100.65,95.3,123.2
2022-03-01T00:00:00.000Z,64.2,210.9,142.35,98.5,152.6
2022-03-02T00:00:00.000Z,42.9,198.7,119.0,70.4,156.8
2022-03-03T00:00:00.000Z,38.7,159.1,51.8,48.7,61.3
2022-03-04T00:00:00.000Z,46.7,106.0,58.3,52.15,67.5
2022-03-05T00:00:00.000Z,40.8,81.4,55.6,52.1,62.9
2022-03-06T00:00:00.000Z,27.2,101.7,45.5,38.2,54.9
2022-03-07T00:00:00.000Z,39.8,241.5,92.7,46.2,135.25
2022-03-08T00:00:00.000Z,30.1,162.4,47.5,38.9,54.2
2022-03-09T00:00:00.000Z,39.4,80.3,53.3,50.7,58.6
2022-03-10T00:00:00.000Z,33.1,68.0,46.8,42.45,52.1
2022-03-11T00:00:00.000Z,46.6,88.1,53.2,50.7,55.7
2022-03-12T00:00:00.000Z,35.3,63.2,45.2,41.6,48.55
2022-03-13T00:00:00.000Z,36.5,74.0,47.75,43.6,52.6
2022-03-14T00:00:00.000Z,40.4,135.4,51.2,47.7,56.2
2022-03-15T00:00:00.000Z,46.9,117.6,77.3,52.95,89.4
2022-03-16T00:00:00.000Z,37.5,89.7,51.0,46.3,67.4
2022-03-17T00:00:00.000Z,42.1,105.5,51.4,46.8,56.45
2022-03-18T00:00:00.000Z,43.9,136.4,53.9,50.0,62.6
2022-03-19T00:00:00.000Z,36.5,88.0,50.4,47.5,52.75
2022-03-20T00:00:00.000Z,38.4,70.5,48.9,43.5,54.1
2022-03-21T00:00:00.000Z,43.0,85.3,56.2,51.7,68.59
2022-03-22T00:00:00.000Z,4.7,295.4,58.4,45.7,73.4
2022-03-23T00:00:00.000Z,1.9,126.1,22.55,10.1,40.85
2022-03-24T00:00:00.000Z,32.9,91.2,59.1,53.5,64.8
2022-03-25T00:00:00.000Z,33.5,128.2,80.65,50.2,94.9
2022-03-26T00:00:00.000Z,41.0,120.2,67.8,49.6,80.2
2022-03-27T00:00:00.000Z,21.5,72.5,32.9,28.1,36.79
2022-03-28T00:00:00.000Z,20.9,117.2,46.15,35.65,63.05
2022-03-29T00:00:00.000Z,26.5,163.5,60.9,52.95,73.59
2022-03-30T00:00:00.000Z,25.3,122.7,56.5,43.4,83.9
2022-03-31T00:00:00.000Z,6.9,129.4,62.3,13.5,71.3
2022-04-01T00:00:00.000Z,6.1,45.0,11.8,9.1,15.3
2022-04-02T00:00:00.000Z,7.3,70.1,18.35,12.1,29.1
2022-04-03T00:00:00.000Z,15.7,98.4,38.4,30.0,44.85
2022-04-04T00:00:00.000Z,34.3,115.5,46.9,43.3,51.8
2022-04-05T00:00:00.000Z,38.8,132.9,66.7,57.4,85.6
2022-04-06T00:00:00.000Z,65.5,218.7,126.0,104.3,158.5
2022-04-07T00:00:00.000Z,47.3,203.9,80.84,69.95,110.25
2022-04-08T00:00:00.000Z,55.6,201.4,107.3,100.25,124.3
2022-04-09T00:00:00.000Z,36.8,232.1,59.8,49.9,76.0
2022-04-10T00:00:00.000Z,42.7,81.2,53.5,49.2,64.9
2022-04-11T00:00:00.000Z,46.0,127.4,58.2,54.45,66.45
2022-04-12T00:00:00.000Z,35.1,95.3,51.8,44.6,60.75
2022-04-13T00:00:00.000Z,49.3,120.2,68.09,60.0,79.2
2022-04-14T00:00:00.000Z,43.2,80.6,51.45,48.2,59.6
2022-04-15T00:00:00.000Z,43.9,379.2,59.25,52.3,65.8
2022-04-16T00:00:00.000Z,7.9,94.8,25.4,20.0,40.9
2022-04-17T00:00:00.000Z,1.4,44.2,11.4,7.4,19.8
2022-04-18T00:00:00.000Z,3.5,282.8,33.7,17.0,41.5
2022-04-19T00:00:00.000Z,22.6,79.1,40.1,30.2,44.1
2022-04-20T00:00:00.000Z,44.5,142.6,89.2,69.5,106.4
2022-04-21T00:00:00.000Z,49.0,94.3,63.8,57.3,70.05
2022-04-22T00:00:00.000Z,36.2,133.8,45.8,42.8,50.35
2022-04-23T00:00:00.000Z,36.0,254.8,47.7,43.7,50.8
2022-04-24T00:00:00.000Z,39.1,273.0,50.6,45.8,55.3
2022-04-25T00:00:00.000Z,31.1,97.2,43.6,38.29,64.8
2022-04-26T00:00:00.000Z,29.3,87.1,46.0,38.45,55.0
2022-04-27T00:00:00.000Z,31.1,72.3,44.0,40.65,46.2
2022-04-28T00:00:00.000Z,22.3,94.3,39.6,32.79,46.3
2022-04-29T00:00:00.000Z,30.2,144.3,45.0,42.8,54.2
2022-04-30T00:00:00.000Z,0.2,65.1,27.8,21.55,35.1
2022-05-01T00:00:00.000Z,2.6,41.4,14.2,6.7,19.0
2022-05-02T00:00:00.000Z,17.2,79.0,34.4,21.3,46.15
2022-05-03T00:00:00.000Z,17.8,121.9,39.3,25.0,48.1
2022-05-04T00:00:00.000Z,26.7,88.4,51.8,42.7,64.0
2022-05-05T00:00:00.000Z,37.6,108.0,49.0,45.35,53.2
2022-05-06T00:00:00.000Z,26.1,110.9,67.0,39.9,81.75
2022-05-07T00:00:00.000Z,8.9,62.1,37.5,30.55,42.9
2022-05-08T00:00:00.000Z,11.3,46.6,33.1,29.9,36.75
2022-05-09T00:00:00.000Z,21.2,96.1,29.0,26.3,34.4
2022-05-10T00:00:00.000Z,30.2,57.7,37.1,34.6,39.8
2022-05-11T00:00:00.000Z,23.8,105.1,43.3,36.85,48.4
2022-05-12T00:00:00.000Z,4.3,60.9,47.5,37.0,50.4
2022-05-13T00:00:00.000Z,7.7,60.3,27.9,18.0,42.0
2022-05-14T00:00:00.000Z,11.0,88.4,51.0,42.7,66.6
2022-05-15T00:00:00.000Z,3.1,52.5,15.7,10.6,25.0
2022-05-16T00:00:00.000Z,3.4,48.8,27.3,8.8,38.5
2022-05-17T00:00:00.000Z,23.5,59.4,39.0,35.4,43.6
2022-05-18T00:00:00.000Z,30.9,70.5,39.9,37.1,41.5
2022-05-19T00:00:00.000Z,32.7,139.3,43.6,41.1,46.1
2022-05-20T00:00:00.000Z,31.2,63.2,43.4,36.85,45.4
2022-05-21T00:00:00.000Z,36.3,64.8,49.6,45.5,54.4
2022-05-22T00:00:00.000Z,1.0,64.8,24.1,18.3,33.85
2022-05-23T00:00:00.000Z,2.6,46.1,16.7,11.05,21.2
2022-05-24T00:00:00.000Z,12.2,59.7,37.29,31.45,42.3
2022-05-25T00:00:00.000Z,28.4,72.7,52.1,43.35,56.4
2022-05-26T00:00:00.000Z,17.5,70.4,43.6,31.0,47.0
2022-05-27T00:00:00.000Z,41.1,58.7,49.35,44.9,55.5
2022-05-28T00:00:00.000Z,9.4,56.5,30.2,26.4,33.54
2022-05-29T00:00:00.000Z,6.9,85.7,35.35,29.0,40.4
2022-05-30T00:00:00.000Z,0.3,77.6,28.8,20.39,41.5
2022-05-31T00:00:00.000Z,24.7,61.1,42.5,36.6,46.9
2022-06-01T00:00:00.000Z,2.2,53.2,34.5,31.0,43.2
2022-06-02T00:00:00.000Z,5.5,49.1,28.7,16.8,33.7
2022-06-03T00:00:00.000Z,14.6,40.5,27.8,21.9,31.7
2022-06-04T00:00:00.000Z,17.6,50.0,35.85,26.3,40.6
2022-06-05T00:00:00.000Z,10.4,174.5,37.45,30.65,43.45
2022-06-06T00:00:00.000Z,2.2,43.7,25.5,13.4,33.6
2022-06-07T00:00:00.000Z,12.2,61.9,29.6,22.4,37.04
2022-06-08T00:00:00.000Z,1.3,638.2,35.95,18.45,44.1
2022-06-09T00:00:00.000Z,30.6,113.9,48.65,42.0,51.8
2022-06-10T00:00:00.000Z,19.8,106.5,37.85,34.95,41.6
2022-06-11T00:00:00.000Z,29.4,175.5,51.95,48.0,58.0
2022-06-12T00:00:00.000Z,18.7,298.3,42.4,37.4,46.4
2022-06-13T00:00:00.000Z,1.8,58.4,27.15,17.7,37.79
2022-06-14T00:00:00.000Z,3.7,41.0,22.1,18.0,26.9
2022-06-15T00:00:00.000Z,10.8,58.5,27.85,22.25,33.95
2022-06-16T00:00:00.000Z,6.2,42.5,15.7,11.65,20.1
2022-06-17T00:00:00.000Z,6.4,105.3,20.2,14.9,27.9
2022-06-18T00:00:00.000Z,5.7,48.3,15.55,11.4,25.5
2022-06-19T00:00:00.000Z,2.7,135.8,18.0,7.9,33.1
2022-06-20T00:00:00.000Z,3.3,151.0,26.7,11.6,37.79
2022-06-21T00:00:00.000Z,6.2,195.0,27.45,16.85,45.8
