date,median
2021-10-08T00:00:00.000Z,51.6
2021-10-09T00:00:00.000Z,34.85
2021-10-10T00:00:00.000Z,17.2
2021-10-11T00:00:00.000Z,14.9
2021-10-12T00:00:00.000Z,18.5
2021-10-13T00:00:00.000Z,25.5
2021-10-14T00:00:00.000Z,9.4
2021-10-15T00:00:00.000Z,13.9
2021-10-16T00:00:00.000Z,8.2
2021-10-17T00:00:00.000Z,15.9
2021-10-18T00:00:00.000Z,17.6
2021-10-19T00:00:00.000Z,71.25
2021-10-20T00:00:00.000Z,62.6
2021-10-21T00:00:00.000Z,19.2
2021-10-22T00:00:00.000Z,22.8
2021-10-23T00:00:00.000Z,52.4
2021-10-24T00:00:00.000Z,60.7
2021-10-25T00:00:00.000Z,96.6
2021-10-26T00:00:00.000Z,166.0
2021-10-27T00:00:00.000Z,112.8
2021-10-28T00:00:00.000Z,67.4
2021-10-29T00:00:00.000Z,32.5
2021-10-30T00:00:00.000Z,13.8
2021-10-31T00:00:00.000Z,50.5
2021-11-01T00:00:00.000Z,26.8
2021-11-02T00:00:00.000Z,36.6
2021-11-03T00:00:00.000Z,55.75
2021-11-04T00:00:00.000Z,50.9
2021-11-05T00:00:00.000Z,48.5
2021-11-06T00:00:00.000Z,45.2
2022-02-04T00:00:00.000Z,63.4
2022-02-05T00:00:00.000Z,91.15
2022-02-06T00:00:00.000Z,81.3
2022-02-07T00:00:00.000Z,78.3
2022-02-08T00:00:00.000Z,44.45
2022-02-09T00:00:00.000Z,34.04
2022-02-10T00:00:00.000Z,76.5
2022-02-11T00:00:00.000Z,63.7
2022-02-12T00:00:00.000Z,33.65
2022-02-13T00:00:00.000Z,25.05
2022-02-14T00:00:00.000Z,68.09
2022-02-15T00:00:00.000Z,72.8
2022-02-16T00:00:00.000Z,78.45
2022-02-17T00:00:00.000Z,77.4
2022-02-18T00:00:00.000Z,47.9
2022-02-19T00:00:00.000Z,11.1
2022-02-20T00:00:00.000Z,18.3
2022-02-21T00:00:00.000Z,25.5
2022-02-22T00:00:00.000Z,37.6
2022-02-23T00:00:00.000Z,53.0
2022-02-24T00:00:00.000Z,68.2
2022-02-25T00:00:00.000Z,82.5
2022-02-26T00:00:00.000Z,204.3
2022-02-27T00:00:00.000Z,169.0
2022-02-28T00:00:00.000Z,109.4
2022-03-01T00:00:00.000Z,157.3
2022-03-02T00:00:00.000Z,130.4
2022-03-03T00:00:00.000Z,66.25
2022-03-04T00:00:00.000Z,71.45
2022-03-05T00:00:00.000Z,69.2
2022-03-06T00:00:00.000Z,56.5
2022-03-07T00:00:00.000Z,97.5
2022-03-08T00:00:00.000Z,58.9
2022-03-09T00:00:00.000Z,66.9
2022-03-10T00:00:00.000Z,59.0
2022-03-11T00:00:00.000Z,67.0
2022-03-12T00:00:00.000Z,57.7
2022-03-13T00:00:00.000Z,60.8
2022-03-14T00:00:00.000Z,64.55
2022-03-15T00:00:00.000Z,85.1
2022-03-16T00:00:00.000Z,65.2
2022-03-17T00:00:00.000Z,65.5
2022-03-18T00:00:00.000Z,69.09
2022-03-19T00:00:00.000Z,64.4
2022-03-20T00:00:00.000Z,62.35
2022-03-21T00:00:00.000Z,70.5
2022-03-22T00:00:00.000Z,71.0
2022-03-23T00:00:00.000Z,24.55
2022-03-24T00:00:00.000Z,73.4
2022-03-25T00:00:00.000Z,93.4
2022-03-26T00:00:00.000Z,76.59
2022-03-27T00:00:00.000Z,38.79
2022-03-28T00:00:00.000Z,57.35
2022-03-29T00:00:00.000Z,73.59
2022-03-30T00:00:00.000Z,71.5
2022-03-31T00:00:00.000Z,76.4
2022-04-01T00:00:00.000Z,12.35
2022-04-02T00:00:00.000Z,20.2
2022-04-03T00:00:00.000Z,47.0
2022-04-04T00:00:00.000Z,59.3
2022-04-05T00:00:00.000Z,76.2
2022-04-06T00:00:00.000Z,135.15
2022-04-07T00:00:00.000Z,86.3
2022-04-08T00:00:00.000Z,115.0
2022-04-09T00:00:00.000Z,71.9
2022-04-10T00:00:00.000Z,66.7
2022-04-11T00:00:00.000Z,70.9
2022-04-12T00:00:00.000Z,65.4
2022-04-13T00:00:00.000Z,77.05
2022-04-14T00:00:00.000Z,64.59
2022-04-15T00:00:00.000Z,71.4
2022-04-16T00:00:00.000Z,27.6
2022-04-17T00:00:00.000Z,12.1
2022-04-18T00:00:00.000Z,39.5
2022-04-19T00:00:00.000Z,49.5
2022-04-20T00:00:00.000Z,97.8
2022-04-21T00:00:00.000Z,75.6
2022-04-22T00:00:00.000Z,58.0
2022-04-23T00:00:00.000Z,60.1
2022-04-24T00:00:00.000Z,63.1
2022-04-25T00:00:00.000Z,53.9
2022-04-26T00:00:00.000Z,58.0
2022-04-27T00:00:00.000Z,54.6
2022-04-28T00:00:00.000Z,48.6
2022-04-29T00:00:00.000Z,55.6
2022-04-30T00:00:00.000Z,29.6
2022-05-01T00:00:00.000Z,15.5
2022-05-02T00:00:00.000Z,41.1
2022-05-03T00:00:00.000Z,48.4
2022-05-04T00:00:00.000Z,65.3
2022-05-05T00:00:00.000Z,61.45
2022-05-06T00:00:00.000Z,75.4
2022-05-07T00:00:00.000Z,45.1
2022-05-08T00:00:00.000Z,38.5
2022-05-09T00:00:00.000Z,31.85
2022-05-10T00:00:00.000Z,44.7
2022-05-11T00:00:00.000Z,53.6
2022-05-12T00:00:00.000Z,59.7
2022-05-13T00:00:00.000Z,31.05
2022-05-14T00:00:00.000Z,65.7
2022-05-15T00:00:00.000Z,17.2
2022-05-16T00:00:00.000Z,32.6
2022-05-17T00:00:00.000Z,47.2
2022-05-18T00:00:00.000Z,48.4
2022-05-19T00:00:00.000Z,53.8
2022-05-20T00:00:00.000Z,53.2
2022-05-21T00:00:00.000Z,62.7
2022-05-22T00:00:00.000Z,25.75
2022-05-23T00:00:00.000Z,17.2
2022-05-24T00:00:00.000Z,48.1
2022-05-25T00:00:00.000Z,68.3
2022-05-26T00:00:00.000Z,53.9
2022-05-27T00:00:00.000Z,62.6
2022-05-28T00:00:00.000Z,94383.0
2022-05-29T00:00:00.000Z,47.45
2022-05-30T00:00:00.000Z,31.5
2022-05-31T00:00:00.000Z,52.3
2022-06-01T00:00:00.000Z,40.79
2022-06-02T00:00:00.000Z,31.75
2022-06-03T00:00:00.000Z,30.3
2022-06-04T00:00:00.000Z,42.9
2022-06-05T00:00:00.000Z,45.4
2022-06-06T00:00:00.000Z,27.2
2022-06-07T00:00:00.000Z,32.25
2022-06-08T00:00:00.000Z,42.8
2022-06-09T00:00:00.000Z,61.1
2022-06-10T00:00:00.000Z,45.85
2022-06-11T00:00:00.000Z,65.15
2022-06-12T00:00:00.000Z,52.2
2022-06-13T00:00:00.000Z,29.1
2022-06-14T00:00:00.000Z,23.3
2022-06-15T00:00:00.000Z,29.6
2022-06-16T00:00:00.000Z,16.6
2022-06-17T00:00:00.000Z,21.8
2022-06-18T00:00:00.000Z,16.8
2022-06-19T00:00:00.000Z,19.2
2022-06-20T00:00:00.000Z,28.5
2022-06-21T00:00:00.000Z,29.1
2022-06-22T00:00:00.000Z,38.4
2022-06-23T00:00:00.000Z,62.7
2022-06-24T00:00:00.000Z,33.2
2022-06-25T00:00:00.000Z,31.2
2022-06-26T00:00:00.000Z,38.9
2022-06-27T00:00:00.000Z,27.4
2022-06-28T00:00:00.000Z,39.75
2022-06-29T00:00:00.000Z,56.5
2022-06-30T00:00:00.000Z,50.7
2022-07-01T00:00:00.000Z,37.0
2022-07-02T00:00:00.000Z,22.25
2022-07-03T00:00:00.000Z,42.4
2022-07-04T00:00:00.000Z,43.2
