created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-05-16T11:56:48Z,76298,25.30,34.80,36.63,69.10,35.40,15
2023-05-16T11:57:08Z,76299,26.20,34.40,36.63,69.10,35.70,16
2023-05-16T11:57:35Z,76300,24.90,36.80,36.63,69.30,34.90,15
2023-05-16T11:58:01Z,76301,25.10,35.20,36.63,68.90,35.10,15
2023-05-16T11:58:21Z,76302,24.70,32.90,36.63,69.10,35.00,18
2023-05-16T11:59:46Z,76303,25.00,36.40,36.63,69.30,35.00,16
2023-05-16T12:00:06Z,76304,24.70,34.20,36.63,69.00,35.30,16
2023-05-16T12:00:25Z,76305,25.10,34.30,36.63,68.40,35.00,17
2023-05-16T12:01:10Z,76306,25.70,34.80,36.63,69.10,34.90,15
2023-05-16T12:01:51Z,76307,24.90,36.90,36.56,69.30,34.80,17
2023-05-16T12:02:28Z,76308,24.70,38.70,36.63,69.30,35.00,15
2023-05-16T12:03:24Z,76309,25.90,38.70,36.63,69.30,34.90,14
2023-05-16T12:03:59Z,76310,25.70,37.50,36.63,69.10,35.20,16
2023-05-16T12:04:19Z,76311,25.40,38.40,36.63,69.20,35.30,22
2023-05-16T12:04:50Z,76312,24.50,37.10,36.63,69.30,34.90,18
2023-05-16T12:05:09Z,76313,25.10,35.30,36.63,69.30,34.90,18
2023-05-16T12:06:47Z,76314,24.90,34.60,36.63,69.10,35.50,16
2023-05-16T12:09:44Z,76315,24.90,36.20,36.63,69.20,35.10,15
2023-05-16T12:13:55Z,76316,25.50,38.00,36.63,69.30,35.40,16
2023-05-16T12:14:14Z,76317,25.20,36.20,36.63,69.00,35.70,16
2023-05-16T12:14:49Z,76318,26.30,37.50,36.63,69.10,34.90,15
2023-05-16T12:15:09Z,76319,25.30,34.00,36.63,,,
2023-05-16T12:15:33Z,76320,25.30,33.30,36.56,68.90,35.00,16
2023-05-16T12:16:12Z,76321,26.50,36.90,36.63,69.10,34.90,14
2023-05-16T12:16:58Z,76322,26.50,35.80,36.56,69.10,35.00,15
2023-05-16T12:18:09Z,76323,27.10,36.30,36.56,69.20,34.80,15
2023-05-16T12:19:12Z,76324,27.40,37.80,36.50,69.20,34.80,13
2023-05-16T12:19:42Z,76325,27.40,41.60,36.50,69.40,34.90,17
2023-05-16T12:20:02Z,76326,26.80,40.60,36.44,69.30,35.00,15
2023-05-16T12:21:24Z,76327,28.00,36.70,36.38,69.30,35.40,15
2023-05-16T12:22:04Z,76328,27.20,38.00,36.38,69.50,34.90,15
2023-05-16T12:22:24Z,76329,27.90,39.60,36.31,69.70,34.90,18
2023-05-16T12:22:43Z,76330,27.20,40.20,36.31,69.40,35.00,16
2023-05-16T12:23:03Z,76331,27.10,40.60,36.31,69.80,34.80,18
2023-05-16T12:24:26Z,76332,26.80,42.10,36.31,69.50,34.80,15
2023-05-16T12:24:45Z,76333,27.40,44.00,36.31,69.40,35.10,13
2023-05-16T12:25:39Z,76334,26.80,40.90,36.38,69.70,34.80,16
2023-05-16T12:25:59Z,76335,27.80,44.20,36.38,69.80,34.70,15
